source: runner_snapshot_diff
interval: before_snapshot_to_after_snapshot
status: document_replaced
action_type: back
geometry_excluded: true
covers_live_control_state: false
before: {"document_revision":5491,"snapshot_id":"dc69df2a-f18c-45d2-880d-fb90fa0b921e","url":"https://www.amazon.com/Joyway-Luggage-Expandable-Suitcase-Hardside/dp/B0CSNF82KV/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.a120b15e-b9f5-458c-b2ab-4fe23ec1befc%3Aamzn1.sym.a120b15e-b9f5-458c-b2ab-4fe23ec1befc&crid=1ZDBMMRBVAM5T&cv_ct_cx=hard+shell+carry+on+luggage&keywords=hard+shell+carry+on+luggage&pd_rd_i=B0CSNF82KV&pd_rd_r=7565033c-20ba-4a60-b9d3-817d5cf18bf7&pd_rd_w=jFV70&pd_rd_wg=hsL3F&pf_rd_p=a120b15e-b9f5-458c-b2ab-4fe23ec1befc&pf_rd_r=54A8C4MNWV7AWHBA9CJ3&qid=1788000422&refinements=p_72%3A2661618011%2Cp_n_g-1003235561111%3A23883570011%2Cp_36%3A6000-14000%2Cp_85%3A2470955011&rnid=23883561011&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=hard+shell+carry+on+luggage%2Caps%2C211&sr=1-1-b8f34313-536f-475f-9207-a7c427a641c1"}
after: {"document_revision":4739,"snapshot_id":"befa1852-8ec5-4cf8-bd19-3a44eb11f52f","url":"https://www.amazon.com/s?k=hard+shell+carry+on+luggage&rh=p_72%3A2661618011%2Cp_n_g-1003235561111%3A23883570011%2Cp_36%3A6000-14000%2Cp_85%3A2470955011&dc&crid=1ZDBMMRBVAM5T&qid=1788000387&rnid=23883561011&sprefix=hard+shell+carry+on+luggage%2Caps%2C211&ref=sr_ex_n_1"}
change_count: 2253
totals: {"added_nodes":1675,"added_text":397,"removed_nodes":578,"removed_text":99}
emitted_counts: {"added_nodes":0,"added_text":397,"removed_nodes":0,"removed_text":99,"semantic_entry_count":0,"structural_entry_count":0}
identity: {"after":{"anchored_nodes":409,"duplicate_anchor_bases":1,"duplicate_anchor_nodes":2,"nodes":1675,"path_collisions":0,"positional_nodes":1266},"before":{"anchored_nodes":136,"duplicate_anchor_bases":0,"duplicate_anchor_nodes":0,"nodes":578,"path_collisions":0,"positional_nodes":442},"strategy":"own_content_or_semantic_anchor_with_positional_fallback"}
compression: {}
navigation: {"from":"https://www.amazon.com/Joyway-Luggage-Expandable-Suitcase-Hardside/dp/B0CSNF82KV/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.a120b15e-b9f5-458c-b2ab-4fe23ec1befc%3Aamzn1.sym.a120b15e-b9f5-458c-b2ab-4fe23ec1befc&crid=1ZDBMMRBVAM5T&cv_ct_cx=hard+shell+carry+on+luggage&keywords=hard+shell+carry+on+luggage&pd_rd_i=B0CSNF82KV&pd_rd_r=7565033c-20ba-4a60-b9d3-817d5cf18bf7&pd_rd_w=jFV70&pd_rd_wg=hsL3F&pf_rd_p=a120b15e-b9f5-458c-b2ab-4fe23ec1befc&pf_rd_r=54A8C4MNWV7AWHBA9CJ3&qid=1788000422&refinements=p_72%3A2661618011%2Cp_n_g-1003235561111%3A23883570011%2Cp_36%3A6000-14000%2Cp_85%3A2470955011&rnid=23883561011&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=hard+shell+carry+on+luggage%2Caps%2C211&sr=1-1-b8f34313-536f-475f-9207-a7c427a641c1","to":"https://www.amazon.com/s?k=hard+shell+carry+on+luggage&rh=p_72%3A2661618011%2Cp_n_g-1003235561111%3A23883570011%2Cp_36%3A6000-14000%2Cp_85%3A2470955011&dc&crid=1ZDBMMRBVAM5T&qid=1788000387&rnid=23883561011&sprefix=hard+shell+carry+on+luggage%2Caps%2C211&ref=sr_ex_n_1"}
removed_node_count: 578
added_node_count: 1675
text_removed: "Clothing, Shoes & Jewelry › Luggage & Travel Gear › Luggage › Carry-Ons"
text_removed: "Clothing, Shoes & Jewelry"
text_removed: "›"
text_removed: "Luggage & Travel Gear"
text_removed: "Luggage"
text_removed: "Carry-Ons"
text_removed: "$52.19 Shipping & Import Charges to Germany Details Shipping & Fee Details Price $89.99 AmazonGlobal Shipping $48.72 Estimated Import Charges $3.47 Total $142.18"
text_removed: "$52.19 Shipping & Import Charges to Germany"
text_removed: "Details"
text_removed: "$48.72 delivery Monday, September 7 Or fastest delivery Wednesday, September 2"
text_removed: "$48.72 delivery Monday, September 7"
text_removed: "Monday, September 7"
text_removed: "Or fastest delivery Wednesday, September 2"
text_removed: "Wednesday, September 2"
text_removed: "In Stock"
text_removed: "Quantity: 1 2 3 4 5 6 7 8 9 10 Quantity: 1"
text_removed: "Quantity: 1"
text_removed: "Quantity:"
text_removed: "1"
text_removed: "$ $89.99 89 . 99 ( ) Includes selected options. Includes initial monthly payment and selected options. Details Price ( $ 89 . 99 x ) $ 89 . 99 Subtotal $ $89.99 89 . 99 Subtotal Initial payment breakdown Shipping cost, delivery date, and order total (including tax) shown at checkout."
text_removed: "Buy Now"
text_removed: "Enhancements you chose aren't available for this seller. Details To add the following enhancements to your purchase, choose a different seller. %cardName% ${cardName} not available for the seller you chose ${cardName} unavailable for quantities greater than ${maxQuantity}."
text_removed: "Seller, shipping, and buying option details"
text_removed: "Ships from"
text_removed: "Amazon Amazon Ships from Amazon"
text_removed: "Sold by"
text_removed: "SSSuitcase SSSuitcase Sold by SSSuitcase"
text_removed: "SSSuitcase"
text_removed: "30-day refund / replacement 30-day refund / replacement Quick refund Usually issued within 24 hours. See exceptions Shipping fee May apply, not eligible for free return. See details Convenient dropoff At any of our 50,000 US locations. See return policy"
text_removed: "30-day refund / replacement"
text_removed: "Payment"
text_removed: "Secure transaction Your transaction is secure We work hard to protect your security and privacy. Our payment security system encrypts your information during transmission. We don’t share your credit card details with third-party sellers, and we don’t sell your information to others. Learn more"
text_removed: "Secure transaction"
text_removed: "See more"
text_removed: "Add to List"
text_removed: "Share"
text_removed: "Image thumbnails"
text_removed: "4+"
text_removed: "11 VIDEOS"
text_removed: "Image Unavailable Image not available for Color:"
text_removed: "Click to see full view"
text_removed: "240 Reviews"
text_removed: "Visit the Joyway Store"
text_removed: "4.2 4.2 out of 5 stars"
text_removed: "4.2 out of 5 stars"
text_removed: "(240)"
text_removed: "Learn more about Global Recycled Standard"
text_removed: "3 sustainability features"
text_removed: "Learn more about Amazon pricing and savings"
text_removed: "Limited time deal NO_OF_HOURS hours NO_OF_MINUTES minutes Limited time deal NO_OF_MINUTES minutes Limited time deal NO_OF_MINUTES minutes NO_OF_SECONDS seconds Limited time deal NO_OF_SECONDS seconds Limited time deal"
text_removed: "$89.99 with 10 percent savings -10% $ 89 . 99"
text_removed: "-10%"
text_removed: "$ 89 . 99"
text_removed: "Typical price: $99.99 Typical price: $99.99 $99.99"
text_removed: "Typical price:"
text_removed: "Selected Color is White. Tap to collapse."
text_removed: "Color: White"
text_removed: "Color:"
text_removed: "White"
text_removed: "There are 5 options."
text_removed: "Make a Color selection"
text_removed: "Black"
text_removed: "Coffee"
text_removed: "See 2 options with no featured offers"
text_removed: "Previous , Disabled"
